1;1;1;1;1;1;1;1;Busy
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
2;2222;2;2015-12-10;2;2;ÄÐ;2015-12-30;Available
